,brand,model,processor_name,ram_gb,ssd,hdd,latest_price
412,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,70980
414,HP,430,Core i5,8 GB GB,512 GB,0 GB,94000
415,DELL,Missing,Core i5,8 GB GB,512 GB,0 GB,82990
417,ASUS,Pro,Core i5,8 GB GB,512 GB,0 GB,85990
418,ASUS,ExpertBook,Core i5,8 GB GB,512 GB,0 GB,86990
420,ASUS,ExpertBook,Core i5,8 GB GB,512 GB,0 GB,84990
421,Lenovo,Ideapad,Core i5,8 GB GB,512 GB,0 GB,59999
422,Lenovo,Yoga,Core i5,8 GB GB,512 GB,0 GB,91999
423,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,78900
424,ASUS,ExpertBook,Core i5,8 GB GB,512 GB,0 GB,132790
425,Nokia,PureBook,Core i5,16 GB GB,512 GB,0 GB,55990
426,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,60990
427,Avita,Liber,Core i5,8 GB GB,512 GB,0 GB,65556
428,DELL,Inspiron,Core i5,16 GB GB,512 GB,0 GB,70190
429,DELL,Missing,Core i5,8 GB GB,512 GB,0 GB,79590
431,ASUS,TUF,Core i5,8 GB GB,512 GB,0 GB,76990
432,Nokia,PureBook,Core i5,8 GB GB,512 GB,0 GB,52790
434,Avita,Liber,Core i5,8 GB GB,512 GB,0 GB,44990
435,ASUS,Intel,Core i5,8 GB GB,512 GB,0 GB,84990
436,Lenovo,Ideapad,Core i5,8 GB GB,512 GB,0 GB,86999
437,HP,Pavilion,Core i5,16 GB GB,512 GB,0 GB,78000
438,Avita,Liber,Core i5,8 GB GB,512 GB,0 GB,73063
440,HP,HP,Core i5,16 GB GB,512 GB,0 GB,100990
441,Lenovo,Ideapad,Core i5,8 GB GB,512 GB,0 GB,74990
442,ASUS,ROG,Core i5,8 GB GB,512 GB,0 GB,75990
443,Lenovo,Missing,Core i5,8 GB GB,512 GB,0 GB,84086
444,ASUS,ASUS,Core i5,8 GB GB,1024 GB,0 GB,75990
445,ASUS,TUF,Core i5,8 GB GB,1024 GB,0 GB,77990
446,ASUS,ROG,Core i5,8 GB GB,1024 GB,0 GB,77990
447,APPLE,MacBook,Core i5,16 GB GB,1024 GB,0 GB,179990
449,ASUS,ROG,Core i5,8 GB GB,1024 GB,0 GB,82990
450,ASUS,TUF,Core i5,8 GB GB,1024 GB,0 GB,87990
451,ASUS,F17,Core i5,8 GB GB,1024 GB,0 GB,84500
452,DELL,Inspiron,Core i5,8 GB GB,1024 GB,0 GB,74190
453,Lenovo,ThinkBook,Core i5,8 GB GB,1024 GB,0 GB,64990
454,Lenovo,ThinkPad,Core i5,8 GB GB,512 GB,512 GB,155411
455,Lenovo,ThinkPad,Core i5,8 GB GB,512 GB,512 GB,125394
456,acer,Aspire,Core i5,8 GB GB,0 GB,1024 GB,49990
457,acer,Aspire,Core i5,8 GB GB,0 GB,1024 GB,46990
458,DELL,Vostro,Core i5,8 GB GB,0 GB,1024 GB,48990
459,acer,Aspire,Core i5,8 GB GB,0 GB,1024 GB,59999
460,ASUS,VivoBook,Core i5,8 GB GB,0 GB,1024 GB,46990
461,MSI,GF63,Core i5,8 GB GB,0 GB,1024 GB,52990
462,Lenovo,Missing,Core i5,8 GB GB,0 GB,1024 GB,57999
463,Lenovo,B50-70,Core i5,8 GB GB,0 GB,1024 GB,52490
464,Lenovo,Ideapad,Core i5,8 GB GB,0 GB,1024 GB,56990
465,acer,Aspire,Core i5,8 GB GB,0 GB,1024 GB,61990
466,DELL,Missing,Core i5,8 GB GB,0 GB,1024 GB,58090
467,ASUS,ExpertBook,Core i5,8 GB GB,0 GB,1024 GB,56990
468,acer,Aspire,Core i5,8 GB GB,0 GB,1024 GB,61597
469,ASUS,Pro,Core i5,8 GB GB,0 GB,1024 GB,81990
470,ASUS,ExpertBook,Core i5,8 GB GB,0 GB,1024 GB,61249
471,DELL,Missing,Core i5,8 GB GB,0 GB,1024 GB,58990
472,ASUS,ExpertBook,Core i5,8 GB GB,0 GB,1024 GB,83990
473,MSI,GE76,Core i5,8 GB GB,0 GB,512 GB,291190
